#####Modifiers
preparing_waaagh_vandv_opinion;Attempting to invade;;;;;;;;;;;;x
preparing_waaagh_against_me_vandv_opinion;Attempting to invade me;;;;;;;;;;;;x
#####decisions
waaagh_yourself_vandv;WAAAGH! Me;;;;;;;;;;;;x
waaagh_yourself_vandv_desc;WAAAGH! (This orc will WAAAGH! you);;;;;;;;;;;;x
waaagh_target_vandv;WAAAGH! 'dis un;;;;;;;;;;;;x
waaagh_target_vandv_desc;WAAAGH! (This will be the target for a WAAAGH!);;;;;;;;;;;;x
waaagh_invader_vandv;Me's wanna WAAAGH!;;;;;;;;;;;;x
waaagh_invader_vandv_desc;WAAAGH! (This orc will WAAAGH! your current target);;;;;;;;;;;;x
orc_warlord_dec_vandv;Create Orc Warlord;;;;;;;;;;;;x
orc_warlord_dec_vandv_desc;'e will be cunningly brutal.;;;;;;;;;;;;x
